ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
2746,Actinopterygii (ray-finned fishes),Perciformes,Drepaneidae,Drepane,punctata,Drepane punctata,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2747,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Pagrus,caeruleostictus,Pagrus caeruleostictus,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
2748,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Argyrops,filamentosus,Argyrops filamentosus,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
2749,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Polysteganus,undulosus,Polysteganus undulosus,FC,NA,Fish-cephalopod feeder,NA,NA,OMNI,NA,NA,NA,NA,NA,P,NA,P,NA,O,NA,NA,NA
2750,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Acanthopagrus,bifasciatus,Acanthopagrus bifasciatus,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
2751,Actinopterygii (ray-finned fishes),Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2752,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,rivulatus,Siganus rivulatus,HD,NA,Herbivore-macroalgae feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,H,NA,NA,NA,NA,H
2753,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,ronchus,Umbrina ronchus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
2754,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Amphiprion,chrysopterus,Amphiprion chrysopterus,PK,NA,Planktivore,NA,NA,NA,Diurnal planktivore,NA,NA,NA,#REF!,PK,NA,PK,NA,NA,PK,NA,O
2755,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Lebetus,scorpioides,Lebetus scorpioides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2756,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,vermiculatus,Siganus vermiculatus,HD,NA,Herbivore-macroalgae feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,H,NA,NA,NA,NA,H
2757,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Symphodus,mediterraneus,Symphodus mediterraneus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,I,NA,I,NA,NA,I
2758,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Gobius,cobitis,Gobius cobitis,IM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,NA,I,NA,NA,NA,O,NA,NA,NA
2759,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Xyrichtys,novacula,Xyrichtys novacula,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,#REF!,I,NA,I,NA,I,NA,NA,I
2760,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Parapristipoma,trilineatum,Parapristipoma trilineatum,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,I,NA,NA,NA,NA,I
2761,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,guttatus,Siganus guttatus,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
2762,Actinopterygii (ray-finned fishes),Perciformes,Lateolabracidae,Lateolabrax,japonicus,Lateolabrax japonicus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
2763,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Lebetus,guilleti,Lebetus guilleti,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2764,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Paracentropogon,rubripinnis,Paracentropogon rubripinnis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2765,Actinopterygii (ray-finned fishes),Perciformes,Malacanthidae,Branchiostegus,japonicus,Branchiostegus japonicus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2766,Actinopterygii (ray-finned fishes),Perciformes,Malacanthidae,Branchiostegus,argentatus,Branchiostegus argentatus,IM,NA,Mobile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
2767,Actinopterygii (ray-finned fishes),Perciformes,Malacanthidae,Branchiostegus,auratus,Branchiostegus auratus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2768,Actinopterygii (ray-finned fishes),Scorpaeniformes,Sebastidae,Sebastiscus,marmoratus,Sebastiscus marmoratus,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,I
2769,Actinopterygii (ray-finned fishes),Perciformes,Acropomatidae,Doederleinia,berycoides,Doederleinia berycoides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2770,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,cyanosoma,Apogon cyanosoma,PK,NA,Planktivore,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,PK,NA,NA,NA,NA,NA
2771,Actinopterygii (ray-finned fishes),Gasterosteiformes,Pegasidae,Eurypegasus,draconis,Eurypegasus draconis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2772,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Heteroconger,klausewitzi,Heteroconger klausewitzi,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
2773,Actinopterygii (ray-finned fishes),Ophidiiformes,Ophidiidae,Brotula,ordwayi,Brotula ordwayi,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2774,Actinopterygii (ray-finned fishes),Ophidiiformes,Carapidae,Carapus,dubius,Carapus dubius,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
2775,Actinopterygii (ray-finned fishes),Ophidiiformes,Bythitidae,Ogilbia,deroyi,Ogilbia deroyi,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2776,Actinopterygii (ray-finned fishes),Ophidiiformes,Bythitidae,Ogilbia,galapagosensis,Ogilbia galapagosensis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2777,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Acentronura,australe,Acentronura australe,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2778,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Bryx,veleronis,Bryx veleronis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
2779,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Bulbonaricus,brucei,Bulbonaricus brucei,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2780,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,corallinus,Siganus corallinus,HD,NA,NA,TurfDetrit,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,H,NA,NA,NA,H
2781,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Campichthys,nanus,Campichthys nanus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2782,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Campichthys,tryoni,Campichthys tryoni,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2783,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Choeroichthys,latispinosus,Choeroichthys latispinosus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2784,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Cosmocampus,howensis,Cosmocampus howensis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2785,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Cosmocampus,investigatoris,Cosmocampus investigatoris,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2786,Actinopterygii (ray-finned fishes),Perciformes,Siganidae,Siganus,trispilos,Siganus trispilos,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
2787,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Dunckerocampus,chapmani,Doryrhamphus chapmani,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2788,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Idiotropiscis,larsonae,Idiotropiscis larsonae,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2789,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Campichthys,tricarinatus,Campichthys tricarinatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2790,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Choeroichthys,suillus,Choeroichthys suillus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2791,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Festucalex,cinctus,Festucalex cinctus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
